"","condition","mean_prop_trials_w_peeking","se","average_number_peeking_trials","se_number_peeking_trials","min_number_peeking_trials","max_number_peeking_trials","proportion_individuals_w_peeking"
"1","Functional",0.112903225806452,0.0398901544119345,0.451612903225806,0.159560617647738,0,4,0.290322580645161
"2","Non-functional",0.169354838709677,0.0454770070318441,0.67741935483871,0.181908028127377,0,3,0.387096774193548
