"","Condition","mean_prop_duration_peeking","se","min","max"
"1","Functional",0.0171471104003278,0.00478291028830403,0,0.0678913851460028
"2","Non-functional",0.0174712709801745,0.00494036193990994,0,0.0783540083016599
