"","Condition","mean_prop_trials_w_peeking","se","average_number_peeking_trials","se_number_peeking_trials","min_number_peeking_trials","max_number_peeking_trials","proportion_individuals_w_peeking"
"1","Functional",0.301470588235294,0.0661253887816358,2.41176470588235,0.529003110253087,0,7,0.823529411764706
"2","Non-functional",0.286764705882353,0.0564790128519751,2.29411764705882,0.4518321028158,0,7,0.823529411764706
