"","Estimate","SE","Chi2","df","p","z_wald","p_wald"
"(Intercept)","-1.83","0.66","  NA",NA,"   NA",-2.76935461131165,0.00561674659747797
"conditionNon-functional"," 0.82","0.67","1.61",1,"0.205",1.22500210521111,0.220574427313246
