"","Estimate","SE","LowerCI","UpperCI","Chi2","df","p","z_wald","p_wald"
"(Intercept)","-3.56","0.13","-3.85","-3.34","  NA",NA,"   NA",-27.5165352594191,1.1133508415389e-166
"conditionNon-functional"," 0.10","0.13","-0.16"," 0.37","0.59",1,"0.441",0.770864367641541,0.440787329521881
"z.trial","-0.05","0.07","-0.18"," 0.08","0.60",1,"0.440",-0.772580635725669,0.439770608257723
