"","Estimate","SE","LowerCI","UpperCI","Chi2","df","p","z_wald","p_wald"
"(Intercept)","-4.56","1.25","-12.79","-3.24","  NA",NA,"   NA",-3.6499281982673,0.000262313622986721
"conditionNon-functional"," 1.46","0.74"," -0.88"," 6.86","3.48",1,"0.062",1.98782938450795,0.046830562715271
"z.trial","-1.68","0.83"," -4.29","-0.62","8.15",1,"0.004",-2.03501481063757,0.041849382755968
