"","Estimate","SE","Chi2","df","p","z_wald","p_wald"
"(Intercept)","-4.35","1.04","  NA",NA,"   NA",-4.16830693385915,3.06870528970931e-05
"conditionNon-functional"," 1.40","0.69","4.26",1,"0.039",2.02206669898894,0.0431694617368859
"z.trial","-1.48","0.68","8.81",1,"0.003",-2.18544697433754,0.0288560898417128
