"","Estimate","SE","LowerCI","UpperCI","Chi2","df","p","z_wald","p_wald"
"(Intercept)","-3.78","0.82","-7.25","-2.76","  NA",NA,"   NA",-4.61891981084328,3.85742884374444e-06
"conditionNon-functional"," 1.36","0.61"," 0.39"," 4.71","5.00",1,"0.025",2.22348115475218,0.0261833727493538
"z.trial","-1.00","0.49","-1.91","-0.32","7.42",1,"0.006",-2.03733554860348,0.0416164277854915
