"","Estimate","SE","Chi2","df","p","z_wald","p_wald"
"(Intercept)","-3.27","0.18","  NA",NA,"   NA",-17.7801682556407,1.00677412678899e-70
"conditionNon-functional","-0.12","0.16","0.56",1,"0.456",-0.751691631363069,0.452236524221216
"z.trial"," 0.05","0.08","0.32",1,"0.569",0.572550201055617,0.56694928613053
