"","Estimate","SE","LowerCI","UpperCI","Chi2","df","p","z_wald","p_wald"
"(Intercept)","-1.39","0.31","-2.21","-0.91","  NA",NA,"   NA",-4.44976596862673,8.59639122941649e-06
"ConditionNon-functional"," 0.09","0.31","-0.56"," 0.76","0.07",1,"0.787",0.280507833874555,0.779087916065008
"z.trial","-0.18","0.13","-0.50"," 0.09","1.53",1,"0.216",-1.3147476432808,0.188594728782003
"z.session","-0.20","0.14","-0.52"," 0.05","1.92",1,"0.166",-1.48088962933209,0.138635987005716
