"","Estimate","SE","LowerCI","UpperCI","Chi2","df","p","z_wald","p_wald"
"(Intercept)","-4.42","1.20","-11.41","-2.96","  NA",NA,"   NA",-3.68554503554925,0.000228213720645626
"conditionNon-functional"," 1.37","0.76"," -0.47"," 6.43","2.95",1,"0.086",1.80097652747553,0.0717065796906104
"z.trial","-1.59","0.80"," -3.94","-0.58","7.06",1,"0.008",-1.98947659150438,0.0466486230666282
