"","Estimate","SE","Chi2","df","p","z_wald","p_wald"
"(Intercept)","-3.95","0.12","  NA",NA,"   NA",-33.315082882157,2.33521350252553e-243
"ConditionNon-functional","-0.02","0.11","0.02",1,"0.887",-0.142360630872881,0.886795157618419
"z.trial","-0.06","0.06","1.10",1,"0.295",-1.04823997465396,0.294528057291262
"z.session","-0.04","0.06","0.55",1,"0.457",-0.743254691119484,0.457327497303809
