"","Estimate","SE","LowerCI","UpperCI","Chi2","df","p","z_wald","p_wald"
"(Intercept)","-3.95","0.12","-4.20","-3.73","  NA",NA,"   NA",-33.3150828827353,2.33521345749707e-243
"ConditionNon-functional","-0.02","0.11","-0.26"," 0.21","0.02",1,"0.887",-0.142360630873323,0.88679515761807
"z.trial","-0.06","0.06","-0.18"," 0.05","1.10",1,"0.295",-1.04823997465412,0.294528057291187
"z.session","-0.04","0.06","-0.16"," 0.07","0.55",1,"0.457",-0.743254691119888,0.457327497303564
