"","Estimate","SE","LowerCI","UpperCI","Chi2","df","p","z_wald","p_wald"
"(Intercept)","-4.17","0.93","-11.47","-3.05","  NA",NA,"   NA",-4.49043401678665,7.10781918247951e-06
"conditionNon-functional"," 1.46","0.64","  0.12"," 7.21","5.26",1,"0.022",2.29539959625699,0.0217102344760088
"z.trial","-1.33","0.60"," -3.25","-0.39","9.14",1,"0.003",-2.22983496060022,0.0257584015031015
