"","Estimate","SE","Chi2","df","p","z_wald","p_wald"
"(Intercept)","-2.07","1.38","  NA",NA,"   NA",-1.50055511393691,0.133470668350184
"ConditionNon-functional","-0.38","1.16","0.11",1,"0.742",-0.327240055242875,0.743486327430934
"order_conditionnon-functional_first"," 1.72","1.27","2.77",1,"0.096",1.34844274565693,0.177516023370667
