"","Estimate","SE","LowerCI","UpperCI","Chi2","df","p","z_wald","p_wald"
"(Intercept)","-3.07","0.20","-3.41","-2.77","  NA",NA,"   NA",-15.7086208031303,1.32019979827441e-55
"conditionNon-functional","-0.09","0.16","-0.43"," 0.22","0.34",1,"0.558",-0.587616245273594,0.556789904434833
"z.trial"," 0.03","0.08","-0.11"," 0.19","0.18",1,"0.671",0.417336682358962,0.676432161018945
