"","Estimate","SE","LowerCI","UpperCI","Chi2","df","p","z_wald","p_wald"
"(Intercept)","-3.62","0.23","-4.12","-3.23","  NA",NA,"   NA",-15.4481329836671,7.76605150170111e-54
"ConditionNon-functional","-0.07","0.22","-0.53"," 0.32","0.11",1,"0.743",-0.32832100932567,0.742668960670454
"order_conditionnon-functional_first"," 0.33","0.24","-0.10"," 0.84","1.93",1,"0.165",1.36655775095289,0.171763967547335
