"","Estimate","SE","LowerCI","UpperCI","Chi2","df","p","z_wald","p_wald"
"(Intercept)","-17.45","69.76","-17.60","-5.73","    NA",NA,"   NA",-0.25019722815754,0.802434828714812
"conditionNon-functional"," 16.55","69.62"," -1.46","16.58","-12.06",1,"1.000",0.237786545016237,0.812046654920205
