"","Estimate","SE","LowerCI","UpperCI","Chi2","df","p","z_wald","p_wald"
"(Intercept)","-1.15","0.41","-2.28","-0.38","  NA",NA,"   NA",-2.82166119360067,0.0047775621005372
"ConditionNon-functional"," 0.03","0.39","-0.80"," 0.89","0.01",1,"0.942",0.0733309610898242,0.941542754629263
"z.trial","-0.21","0.16","-0.63"," 0.15","1.67",1,"0.197",-1.29917389422735,0.193884258395524
"z.session","-0.22","0.16","-0.63"," 0.09","1.71",1,"0.191",-1.34983098828728,0.177070202381521
