Observation id;Observation date;Description;Media file;Total length;FPS;Subject;Session;Trial Order;Date;Condition;Behavior;Behavioral category;Modifiers;Behavior type;Start (s);Stop (s);Duration (s);Comment start;Comment stop
ES_Child_117;29.05.2023 21:21;ES_Child_117;C:/Users/rashi/Downloads/ES117 3y1m F YBG pt2.mp4;895.394;59,94005994;ES117;;1;41823;Functional;Toy to end of trial;Time Spent;;STATE;732.882;793.476;60.594;;
ES_Child_119;29.05.2023 22:27;ES_Child_119;C:/Users/rashi/Downloads/ES119 3yxm M YBG.mp4;780.780;59,94005994;ES119;;1;41823;Functional;Researcher absent;Researcher status;;STATE;733.866;768.184;34.318;;
ES_Child_116;26.05.2023 18:44;ES_Child_116;C:/Users/rashi/Downloads/ES116 4y1m F Zoo.mp4;876.876;59,94005994;ES116;;1;41823;Functional;Researcher present;Researcher status;;STATE;738.087;805.588;67.501;;
ES_Child_118;29.05.2023 22:26;ES_Child_118;C:/Users/rashi/Downloads/ES118 3y10m M YBG pt2.mp4;787.787;59,94005994;ES118;;2;41823;Non-functional;Arriving at start of trial;Movement;;STATE;738.638;739.489;0.851;;
ES_Child_118;29.05.2023 22:26;ES_Child_118;C:/Users/rashi/Downloads/ES118 3y10m M YBG pt2.mp4;787.787;59,94005994;ES118;;2;41823;Non-functional;Functional;Trial type;;STATE;738.638;781.080;42.442;;
ES_Child_118;29.05.2023 22:26;ES_Child_118;C:/Users/rashi/Downloads/ES118 3y10m M YBG pt2.mp4;787.787;59,94005994;ES118;;2;41823;Non-functional;Fiddling with wood;Fiddling;;STATE;740.590;746.212;5.622;;
ES_Child_118;29.05.2023 22:26;ES_Child_118;C:/Users/rashi/Downloads/ES118 3y10m M YBG pt2.mp4;787.787;59,94005994;ES118;;2;41823;Non-functional;Solve to toy;Time Spent;;STATE;740.590;746.212;5.622;;
ES_Child_117;29.05.2023 21:21;ES_Child_117;C:/Users/rashi/Downloads/ES117 3y1m F YBG pt2.mp4;895.394;59,94005994;ES117;;1;41823;Functional;Researcher absent;Researcher status;;STATE;744.394;793.476;49.082;;
ES_Child_116;26.05.2023 18:44;ES_Child_116;C:/Users/rashi/Downloads/ES116 4y1m F Zoo.mp4;876.876;59,94005994;ES116;;1;41823;Functional;Exiting at end of trial;Movement;;STATE;745.762;751.034;5.272;;
ES_Child_118;29.05.2023 22:26;ES_Child_118;C:/Users/rashi/Downloads/ES118 3y10m M YBG pt2.mp4;787.787;59,94005994;ES118;;2;41823;Non-functional;Toy to end of trial;Time Spent;;STATE;746.212;781.080;34.868;;
ES_Child_115;25.05.2023 15:56;ES_Child_115;C:/Users/rashi/Downloads/ES 115 2y8m Zoo.mp4;978.978;59,94005994;ES115;;2;41823;Non-functional;Functional;Trial type;;STATE;746.312;786.569;40.257;;
ES_Child_115;25.05.2023 15:56;ES_Child_115;C:/Users/rashi/Downloads/ES 115 2y8m Zoo.mp4;978.978;59,94005994;ES115;;2;41823;Non-functional;Arriving at start of trial;Movement;;STATE;748.498;750.934;2.436;;
ES_Child_115;25.05.2023 15:56;ES_Child_115;C:/Users/rashi/Downloads/ES 115 2y8m Zoo.mp4;978.978;59,94005994;ES115;;2;41823;Non-functional;Solve to toy;Time Spent;;STATE;750.934;753.486;2.552;;
ES_Child_118;29.05.2023 22:26;ES_Child_118;C:/Users/rashi/Downloads/ES118 3y10m M YBG pt2.mp4;787.787;59,94005994;ES118;;2;41823;Non-functional;Researcher absent;Researcher status;;STATE;752.568;781.080;28.512;;
ES_Child_115;25.05.2023 15:56;ES_Child_115;C:/Users/rashi/Downloads/ES 115 2y8m Zoo.mp4;978.978;59,94005994;ES115;;2;41823;Non-functional;Toy to end of trial;Time Spent;;STATE;753.486;786.569;33.083;;
ES_Child_115;25.05.2023 15:56;ES_Child_115;C:/Users/rashi/Downloads/ES 115 2y8m Zoo.mp4;978.978;59,94005994;ES115;;2;41823;Non-functional;Right box (side);Peeking;;STATE;762.912;776.309;13.397;;
