Observation id;Observation date;Description;Media file;Total length;FPS;Subject;Session;Trial Order;Date;Condition;Behavior;Behavioral category;Modifiers;Behavior type;Start (s);Stop (s);Duration (s);Comment start;Comment stop
ES_Child_116;26.05.2023 18:44;ES_Child_116;C:/Users/rashi/Downloads/ES116 4y1m F Zoo.mp4;876.876;59,94005994;ES116;;1;41823;Functional;Arriving at start of trial;Movement;;STATE;601.267;605.972;4.705;;
ES_Child_116;26.05.2023 18:44;ES_Child_116;C:/Users/rashi/Downloads/ES116 4y1m F Zoo.mp4;876.876;59,94005994;ES116;;1;41823;Functional;Non-functional;Trial type;;STATE;601.267;649.782;48.515;;
ES_Child_115;25.05.2023 15:56;ES_Child_115;C:/Users/rashi/Downloads/ES 115 2y8m Zoo.mp4;978.978;59,94005994;ES115;;2;41823;Non-functional;Researcher absent;Researcher status;;STATE;602.869;621.171;18.302;;
ES_Child_112;22.05.2023 14:40;ES_Child_112;C:/Users/rashi/Downloads/ES112 3y6m F Zoo.mp4;688.688;59,94005994;ES112;;1;41723;Functional;Right box (front);Proximity;;STATE;604.087;605.588;1.501;;
ES_Child_117;29.05.2023 21:21;ES_Child_117;C:/Users/rashi/Downloads/ES117 3y1m F YBG pt2.mp4;895.394;59,94005994;ES117;;1;41823;Functional;Researcher present;Researcher status;;STATE;604.120;645.094;40.974;;
ES_Child_118;29.05.2023 22:26;ES_Child_118;C:/Users/rashi/Downloads/ES118 3y10m M YBG pt2.mp4;787.787;59,94005994;ES118;;2;41823;Non-functional;Researcher absent;Researcher status;;STATE;605.555;635.935;30.380;;
ES_Child_114;24.05.2023 19:12;ES_Child_114;C:/Users/rashi/Downloads/ES114 3y1m M Zoo CAM2.MP4.crdownload;677.177;59,94005994;ES114;;1;41623;Functional;Researcher present;Researcher status;;STATE;605.855;644.110;38.255;;
ES_Child_117;29.05.2023 21:21;ES_Child_117;C:/Users/rashi/Downloads/ES117 3y1m F YBG pt2.mp4;895.394;59,94005994;ES117;;1;41823;Functional;Exiting at end of trial;Movement;;STATE;606.189;607.907;1.718;;
ES_Child_112;22.05.2023 14:40;ES_Child_112;C:/Users/rashi/Downloads/ES112 3y6m F Zoo.mp4;688.688;59,94005994;ES112;;1;41723;Functional;Researcher present;Researcher status;;STATE;606.322;654.237;47.915;;
ES_Child_116;26.05.2023 18:44;ES_Child_116;C:/Users/rashi/Downloads/ES116 4y1m F Zoo.mp4;876.876;59,94005994;ES116;;1;41823;Functional;Solve to toy;Time Spent;;STATE;607.357;613.313;5.956;;
ES_Child_112;22.05.2023 14:40;ES_Child_112;C:/Users/rashi/Downloads/ES112 3y6m F Zoo.mp4;688.688;59,94005994;ES112;;1;41723;Functional;Exiting at end of trial;Movement;;STATE;611.578;616.115;4.537;;
ES_Child_116;26.05.2023 18:44;ES_Child_116;C:/Users/rashi/Downloads/ES116 4y1m F Zoo.mp4;876.876;59,94005994;ES116;;1;41823;Functional;Fiddling with wood;Fiddling;;STATE;612.679;613.313;0.634;;
ES_Child_116;26.05.2023 18:44;ES_Child_116;C:/Users/rashi/Downloads/ES116 4y1m F Zoo.mp4;876.876;59,94005994;ES116;;1;41823;Functional;Toy to end of trial;Time Spent;;STATE;613.313;649.782;36.469;;
ES_Child_113;23.05.2023 16:38;ES_Child_113;C:/Users/rashi/Downloads/ES113 3y4m F Zoo CAM2.MP4;644.144;59,94005994;ES113;;2;41623;Non-functional;Researcher present;Researcher status;;STATE;618.084;619.786;1.702;;
ES_Child_114;24.05.2023 19:12;ES_Child_114;C:/Users/rashi/Downloads/ES114 3y1m M Zoo CAM2.MP4.crdownload;677.177;59,94005994;ES114;;1;41623;Functional;Non-functional;Trial type;;STATE;620.053;671.788;51.735;;
ES_Child_115;25.05.2023 15:56;ES_Child_115;C:/Users/rashi/Downloads/ES 115 2y8m Zoo.mp4;978.978;59,94005994;ES115;;2;41823;Non-functional;Researcher present;Researcher status;;STATE;621.171;690.990;69.819;;
ES_Child_116;26.05.2023 18:44;ES_Child_116;C:/Users/rashi/Downloads/ES116 4y1m F Zoo.mp4;876.876;59,94005994;ES116;;1;41823;Functional;Researcher absent;Researcher status;;STATE;622.338;649.782;27.444;;
ES_Child_116;26.05.2023 18:44;ES_Child_116;C:/Users/rashi/Downloads/ES116 4y1m F Zoo.mp4;876.876;59,94005994;ES116;;1;41823;Functional;Right box (front);Proximity;;STATE;623.406;642.892;19.486;;
ES_Child_115;25.05.2023 15:56;ES_Child_115;C:/Users/rashi/Downloads/ES 115 2y8m Zoo.mp4;978.978;59,94005994;ES115;;2;41823;Non-functional;Exiting at end of trial;Movement;;STATE;623.756;627.811;4.055;;
ES_Child_119;29.05.2023 22:27;ES_Child_119;C:/Users/rashi/Downloads/ES119 3yxm M YBG.mp4;780.780;59,94005994;ES119;;1;41823;Functional;Researcher present;Researcher status;;STATE;624.190;664.314;40.124;;
ES_Child_119;29.05.2023 22:27;ES_Child_119;C:/Users/rashi/Downloads/ES119 3yxm M YBG.mp4;780.780;59,94005994;ES119;;1;41823;Functional;Exiting at end of trial;Movement;;STATE;626.326;631.414;5.088;;
ES_Child_114;24.05.2023 19:12;ES_Child_114;C:/Users/rashi/Downloads/ES114 3y1m M Zoo CAM2.MP4.crdownload;677.177;59,94005994;ES114;;1;41623;Functional;Arriving at start of trial;Movement;;STATE;626.459;627.327;0.868;;
ES_Child_118;29.05.2023 22:26;ES_Child_118;C:/Users/rashi/Downloads/ES118 3y10m M YBG pt2.mp4;787.787;59,94005994;ES118;;2;41823;Non-functional;Right box (front);Proximity;;STATE;627.227;630.079;2.852;;
