Subject,Date,Session,Trial,Condition
Sunny,Nov 15 '22,4,5,Non-functional
Sunny,Nov 17 '22,5,1,Refresher
Sunny,Nov 17 '22,5,2,Refresher
Sunny,Nov 17 '22,5,3,Refresher
Sunny,Nov 17 '22,5,4,Functional
Sunny,Nov 17 '22,5,5,Non-functional
Sunny,Nov 22 '22,6,1,Refresher
Sunny,Nov 22 '22,6,2,Refresher
Sunny,Nov 22 '22,6,3,Refresher
Sunny,Nov 22 '22,6,4,Non-functional
Sunny,Nov 22 '22,6,5,Functional
Sunny,Nov 25 '22,7,1,Refresher
Sunny,Nov 25 '22,7,2,Refresher
Sunny,Nov 25 '22,7,3,Refresher
Sunny,Nov 25 '22,7,4,Functional
Sunny,Nov 25 '22,7,5,Non-functional
Sunny,Nov 29 '22,8,1,Refresher
Sunny,Nov 29 '22,8,2,Refresher
Sunny,Nov 29 '22,8,3,Refresher
Sunny,Nov 29 '22,8,4,Non-functional
Sunny,Nov 29 '22,8,5,Functional
Tai,Nov 2 '22,1,1,Refresher
Tai,Nov 2 '22,1,2,Refresher
Tai,Nov 2 '22,1,3,Refresher
Tai,Nov 2 '22,1,4,Non-functional
Tai,Nov 2 '22,1,5,Functional
Tai,Nov 8 '22,2,1,Refresher
Tai,Nov 8 '22,2,2,Refresher
Tai,Nov 8 '22,2,3,Refresher
Tai,Nov 8 '22,2,4,Functional
Tai,Nov 8 '22,2,5,Non-functional
Tai,Nov 10 '22,3,1,Refresher
Tai,Nov 10 '22,3,2,Refresher
Tai,Nov 10 '22,3,3,Refresher
Tai,Nov 10 '22,3,4,Functional
Tai,Nov 10 '22,3,5,Non-functional
Tai,Nov 15 '22,4,1,Refresher
Tai,Nov 15 '22,4,2,Refresher
Tai,Nov 15 '22,4,3,Refresher
Tai,Nov 15 '22,4,4,Functional
Tai,Nov 15 '22,4,5,Non-functional
Tai,Nov 17 '22,5,1,Refresher
Tai,Nov 17 '22,5,2,Refresher
Tai,Nov 17 '22,5,3,Refresher
Tai,Nov 17 '22,5,4,Non-functional
Tai,Nov 17 '22,5,5,Functional
Tai,Nov 22 '22,6,1,Refresher
Tai,Nov 22 '22,6,2,Refresher
Tai,Nov 22 '22,6,3,Refresher
Tai,Nov 22 '22,6,4,Functional
Tai,Nov 22 '22,6,5,Non-functional
Tai,Nov 25 '22,7,1,Refresher
Tai,Nov 25 '22,7,2,Refresher
Tai,Nov 25 '22,7,3,Refresher
Tai,Nov 25 '22,7,4,Non-functional
Tai,Nov 25 '22,7,5,Functional
Tai,Nov 29 '22,8,1,Refresher
Tai,Nov 29 '22,8,2,Refresher
Tai,Nov 29 '22,8,3,Refresher
Tai,Nov 29 '22,8,4,Non-functional
Tai,Nov 29 '22,8,5,Functional
