Observation id,Observation date,Description,Media file,Total length,FPS,Subject,Session,Trial Order,Date,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
ReliabilityFay11.15.22ESExpS8.MTS.re-encoded.1920px.800k - copy,22/01/2023 11:40,ReliabilityFay11.15.22ESExpS8.MTS.re-encoded.1920px.800k - copy,C:/Users/Student/Documents/Masters/Extra-curricular course stuff/Kea coding/Videos/ReliabilityFay11.15.22ESExpS8.MTS.re-encoded.1920px.800k.avi,289.96,25,Fay,8,2,111522,Non-functional,Food to end of trial,Time spent,,STATE,174.647,209.608,34.961,,
ReliabilityJohn10.7.22ESExpS2.MTS.re-encoded.1920px.800k - copy,27/01/2023 12:49,ReliabilityJohn10.7.22ESExpS2.MTS.re-encoded.1920px.800k - copy,C:/Users/Student/Documents/Masters/Extra-curricular course stuff/Kea coding/Videos/ReliabilityJohn10.7.22ESExpS2.MTS.re-encoded.1920px.800k.avi,330.76,25,John,2,2,10722,Non-functional,Solve to food,Time spent,,STATE,175.297,180.447,5.15,,
ReliabilityJohn10.7.22ESExpS2.MTS.re-encoded.1920px.800k - copy,27/01/2023 12:49,ReliabilityJohn10.7.22ESExpS2.MTS.re-encoded.1920px.800k - copy,C:/Users/Student/Documents/Masters/Extra-curricular course stuff/Kea coding/Videos/ReliabilityJohn10.7.22ESExpS2.MTS.re-encoded.1920px.800k.avi,330.76,25,John,2,2,10722,Non-functional,Right box (front),Proximity,,STATE,175.297,176.946,1.649,,
ReliabilityJohn10.7.22ESExpS2.MTS.re-encoded.1920px.800k - copy,27/01/2023 12:49,ReliabilityJohn10.7.22ESExpS2.MTS.re-encoded.1920px.800k - copy,C:/Users/Student/Documents/Masters/Extra-curricular course stuff/Kea coding/Videos/ReliabilityJohn10.7.22ESExpS2.MTS.re-encoded.1920px.800k.avi,330.76,25,John,2,2,10722,Non-functional,Right box (side),Proximity,,STATE,176.946,177.673,0.727,,
ReliabilityRoku10.25.22ESExpS7.MTS.re-encoded.1920px.800k - copy,30/01/2023 13:28,ReliabilityRoku10.25.22ESExpS7.MTS.re-encoded.1920px.800k - copy,C:/Users/Student/Documents/Masters/Extra-curricular course stuff/Kea coding/Videos/ReliabilityRoku10.25.22ESExpS7.MTS.re-encoded.1920px.800k.avi,301.96,25,Roku,7,1,102522,Functional,Functional,Trial type,,STATE,178.007,220.056,42.049,,
ReliabilityRoku10.25.22ESExpS7.MTS.re-encoded.1920px.800k - copy,30/01/2023 13:28,ReliabilityRoku10.25.22ESExpS7.MTS.re-encoded.1920px.800k - copy,C:/Users/Student/Documents/Masters/Extra-curricular course stuff/Kea coding/Videos/ReliabilityRoku10.25.22ESExpS7.MTS.re-encoded.1920px.800k.avi,301.96,25,Roku,7,1,102522,Functional,Testing compartment,Compartment,,STATE,178.007,216.381,38.374,,
ReliabilityRoku10.25.22ESExpS7.MTS.re-encoded.1920px.800k - copy,30/01/2023 13:28,ReliabilityRoku10.25.22ESExpS7.MTS.re-encoded.1920px.800k - copy,C:/Users/Student/Documents/Masters/Extra-curricular course stuff/Kea coding/Videos/ReliabilityRoku10.25.22ESExpS7.MTS.re-encoded.1920px.800k.avi,301.96,25,Roku,7,1,102522,Functional,Arriving at start of trial,Movement,,STATE,178.007,179.159,1.152,,
ReliabilityJohn10.7.22ESExpS2.MTS.re-encoded.1920px.800k - copy,27/01/2023 12:49,ReliabilityJohn10.7.22ESExpS2.MTS.re-encoded.1920px.800k - copy,C:/Users/Student/Documents/Masters/Extra-curricular course stuff/Kea coding/Videos/ReliabilityJohn10.7.22ESExpS2.MTS.re-encoded.1920px.800k.avi,330.76,25,John,2,2,10722,Non-functional,Waiting compartment,Compartment,,STATE,178.145,182.272,4.127,,
ReliabilitySkipper10.19.22ESExpS3.MTS.re-encoded.1920px.800k - copy,30/01/2023 17:06,ReliabilitySkipper10.19.22ESExpS3.MTS.re-encoded.1920px.800k - copy,C:/Users/Student/Documents/Masters/Extra-curricular course stuff/Kea coding/Videos/ReliabilitySkipper10.19.22ESExpS3.MTS.re-encoded.1920px.800k.avi,318.76,25,Skipper,3,2,101922,Non-functional,Non-functional,Trial type,,STATE,178.276,224.229,45.953,,
ReliabilitySkipper10.19.22ESExpS3.MTS.re-encoded.1920px.800k - copy,30/01/2023 17:06,ReliabilitySkipper10.19.22ESExpS3.MTS.re-encoded.1920px.800k - copy,C:/Users/Student/Documents/Masters/Extra-curricular course stuff/Kea coding/Videos/ReliabilitySkipper10.19.22ESExpS3.MTS.re-encoded.1920px.800k.avi,318.76,25,Skipper,3,2,101922,Non-functional,Testing compartment,Compartment,,STATE,178.276,189.874,11.598,,
