,Subject,Session,Trial,Condition,sum_peeking,Trial_Duration,Proportionpeeking,peeking_binary,Prop_peeking_reli,Peeking_binary_reli
95,Kermit,8,4,Functional,1.575,39.45,0.039923954,1,NA,NA
96,Kermit,8,5,Non-functional,0,33.721,0,0,NA,NA
97,Kiri,1,4,Non-functional,0,34.525,0,0,NA,NA
98,Kiri,1,5,Functional,2.1,46.215,0.045439792,1,NA,NA
99,Kiri,2,4,Functional,2.57,39.57,0.064948193,1,0.035271404,1
100,Kiri,2,5,Non-functional,0,36.83,0,0,0,0
101,Kiri,3,4,Non-functional,3.35,34.795,0.096278201,1,NA,NA
102,Kiri,3,5,Functional,0,41.9,0,0,NA,NA
103,Kiri,4,4,Non-functional,3.15,36.436,0.086452959,1,0.017523081,1
104,Kiri,4,5,Functional,1.35,39.447,0.034223135,1,0.020474004,1
105,Kiri,5,4,Functional,0,40.625,0,0,NA,NA
106,Kiri,5,5,Non-functional,0,34.476,0,0,NA,NA
107,Kiri,6,4,Functional,0,38.13,0,0,NA,NA
108,Kiri,6,5,Non-functional,0,34.019,0,0,NA,NA
109,Kiri,7,4,Non-functional,0.75,36.08,0.02078714,1,NA,NA
110,Kiri,7,5,Functional,0.56,38.581,0.014514917,1,NA,NA
111,Kiri,8,4,Functional,0,39.314,0,0,NA,NA
112,Kiri,8,5,Non-functional,0,33.56,0,0,NA,NA
113,Lilly,1,4,Non-functional,0,39.156,0,0,NA,NA
114,Lilly,1,5,Functional,0,50.5,0,0,NA,NA
115,Lilly,2,4,Functional,0,46.215,0,0,NA,NA
116,Lilly,2,5,Non-functional,0,47.4,0,0,NA,NA
117,Lilly,3,4,Functional,0,46.724,0,0,NA,NA
118,Lilly,3,5,Non-functional,0,39.225,0,0,NA,NA
119,Lilly,4,4,Functional,0,46.501,0,0,NA,NA
120,Lilly,4,5,Non-functional,0,38.379,0,0,NA,NA
121,Lilly,5,4,Non-functional,0,51.424,0,0,NA,NA
122,Lilly,5,5,Functional,0,45.843,0,0,NA,NA
123,Lilly,6,4,Functional,0,48.715,0,0,NA,NA
124,Lilly,6,5,Non-functional,0,41.374,0,0,NA,NA
125,Lilly,7,4,Non-functional,0,41.201,0,0,NA,NA
126,Lilly,7,5,Functional,0,45.438,0,0,NA,NA
127,Lilly,8,4,Non-functional,0,42.575,0,0,0,0
128,Lilly,8,5,Functional,0,49.705,0,0,0,0
129,Mali,1,4,Non-functional,1.1,36.225,0.030365769,1,NA,NA
130,Mali,1,5,Functional,1.4,40.725,0.034376918,1,NA,NA
131,Mali,2,4,Functional,0,41.06,0,0,NA,NA
132,Mali,2,5,Non-functional,0,35.65,0,0,NA,NA
133,Mali,3,4,Non-functional,1.65,35.42,0.046583851,1,NA,NA
134,Mali,3,5,Functional,0,42.93,0,0,NA,NA
135,Mali,4,4,Functional,0,43.775,0,0,NA,NA
136,Mali,4,5,Non-functional,0,35.425,0,0,NA,NA
137,Mali,5,4,Functional,0,41.583,0,0,0,0
138,Mali,5,5,Non-functional,0,35.761,0,0,0,0
139,Mali,6,4,Non-functional,0,34.972,0,0,NA,NA
