"","subject","condition","Trial","Behavior","sum_duration","count_peeking","Block","trial_order","Trial_duration","trial_overall","proportion_peeking"
"829","ES120","Functional",2,"Right box (side)",0,0,1,"1",32.252,2,0
"830","ES122","Functional",2,"Right box (side)",0,0,1,"1",28.751,2,0
"831","ES123","Functional",2,"Right box (side)",0,0,1,"1",32.25,2,0
"832","ES124","Functional",2,"Right box (side)",0,0,1,"1",38.496,2,0
"833","Es125","Functional",2,"Right box (side)",0,0,2,"2",28.747,6,0
"834","ES126","Functional",2,"Right box (side)",0,0,1,"1",37.298,2,0
"835","ES127","Functional",2,"Right box (side)",0,0,1,"1",35.496,2,0
"836","ES128","Functional",2,"Right box (side)",0,0,1,"1",39.247,2,0
"837","ES129","Functional",2,"Right box (side)",0,0,2,"2",32.748,6,0
"838","ES130","Functional",2,"Right box (side)",0,0,1,"1",33.033,2,0
"839","ES132","Functional",2,"Right box (side)",0,0,1,"1",33.888,2,0
"840","ES133","Functional",2,"Right box (side)",0,0,1,"1",34.745,2,0
"841","ES134","Functional",2,"Right box (side)",0,0,2,"2",32.501,6,0
"842","ES135","Functional",2,"Right box (side)",0,0,1,"1",30.743,2,0
"843","ES136","Functional",2,"Right box (side)",0,0,2,"2",27.502,6,0
"844","ES101","Non-functional",2,"Right box (side)",0,0,2,"1",43.944,6,0
"845","ES102","Non-functional",2,"Right box (side)",0,0,1,"2",41.003,2,0
"846","ES103","Non-functional",2,"Right box (side)",0,0,2,"1",34.754,6,0
"847","ES104","Non-functional",2,"Right box (side)",0,0,1,"2",44.912,2,0
"848","ES106","Non-functional",2,"Right box (side)",0,0,1,"2",57.25,2,0
"849","ES108","Non-functional",2,"Right box (side)",0,0,1,"2",25.502,2,0
"850","ES110","Non-functional",2,"Right box (side)",0,0,2,"1",30.998,6,0
"851","ES111","Non-functional",2,"Right box (side)",0,0,1,"2",28.498,2,0
"852","ES112","Non-functional",2,"Right box (side)",0,0,2,"1",23.74,6,0
"853","ES113","Non-functional",2,"Right box (side)",0,0,1,"2",35.769,2,0
"854","ES114","Non-functional",2,"Right box (side)",0,0,2,"1",37.27,6,0
"855","ES116","Non-functional",2,"Right box (side)",0,0,2,"1",36.469,6,0
"856","ES117","Non-functional",2,"Right box (side)",0,0,2,"1",34.452,6,0
"857","ES118","Non-functional",2,"Right box (side)",0,0,1,"2",33.316,2,0
"858","ES119","Non-functional",2,"Right box (side)",0,0,2,"1",33.4,6,0
"859","ES120","Non-functional",2,"Right box (side)",0,0,2,"1",27.499,6,0
"860","ES122","Non-functional",2,"Right box (side)",0,0,2,"1",25.749,6,0
"861","ES123","Non-functional",2,"Right box (side)",0,0,2,"1",32.248,6,0
"862","ES124","Non-functional",2,"Right box (side)",0,0,2,"1",45.249,6,0
"863","Es125","Non-functional",2,"Right box (side)",0,0,1,"2",32.252,2,0
"864","ES126","Non-functional",2,"Right box (side)",0,0,2,"1",44.583,6,0
"865","ES127","Non-functional",2,"Right box (side)",0,0,2,"1",41.753,6,0
"866","ES128","Non-functional",2,"Right box (side)",0,0,2,"1",36.999,6,0
"867","ES129","Non-functional",2,"Right box (side)",0,0,1,"2",35.254,2,0
"868","ES130","Non-functional",2,"Right box (side)",0,0,2,"1",41.002,6,0
"869","ES132","Non-functional",2,"Right box (side)",0,0,2,"1",34.746,6,0
"870","ES133","Non-functional",2,"Right box (side)",0,0,2,"1",36.736,6,0
"871","ES134","Non-functional",2,"Right box (side)",0,0,1,"2",34.509,2,0
"872","ES135","Non-functional",2,"Right box (side)",0,0,2,"1",27.504,6,0
"873","ES136","Non-functional",2,"Right box (side)",0,0,1,"2",24.816,2,0
"874","ES101","Functional",3,"Right box (side)",0,0,1,"1",49.349,3,0
"875","ES102","Functional",3,"Right box (side)",0,0,2,"2",39.997,7,0
"876","ES103","Functional",3,"Right box (side)",0,0,1,"1",40.496,3,0
"877","ES104","Functional",3,"Right box (side)",0,0,2,"2",47.314,7,0
"878","ES106","Functional",3,"Right box (side)",0,0,2,"2",45.753,7,0
"879","ES108","Functional",3,"Right box (side)",0,0,2,"2",27.993,7,0
"880","ES110","Functional",3,"Right box (side)",0,0,1,"1",27.504,3,0
"881","ES111","Functional",3,"Right box (side)",0,0,2,"2",30.001,7,0
"882","ES112","Functional",3,"Right box (side)",0,0,1,"1",30.397,3,0
"883","ES113","Functional",3,"Right box (side)",0,0,2,"2",33.067,7,0
"884","ES114","Functional",3,"Right box (side)",0,0,1,"1",36.67,3,0
"885","ES116","Functional",3,"Right box (side)",0,0,1,"1",30.164,3,0
"886","ES117","Functional",3,"Right box (side)",0,0,1,"1",37.037,3,0
"887","ES119","Functional",3,"Right box (side)",0,0,1,"1",32.299,3,0
"888","ES120","Functional",3,"Right box (side)",0,0,1,"1",30,3,0
"889","ES122","Functional",3,"Right box (side)",0,0,1,"1",31.751,3,0
"890","ES123","Functional",3,"Right box (side)",0,0,1,"1",33.5,3,0
"891","ES124","Functional",3,"Right box (side)",0,0,1,"1",36.999,3,0
"892","Es125","Functional",3,"Right box (side)",0,0,2,"2",30.744,7,0
"893","ES126","Functional",3,"Right box (side)",0,0,1,"1",36.002,3,0
"894","ES127","Functional",3,"Right box (side)",0,0,1,"1",35.5,3,0
"895","ES128","Functional",3,"Right box (side)",0,0,1,"1",36.747,3,0
"896","ES129","Functional",3,"Right box (side)",0,0,2,"2",34.496,7,0
"897","ES130","Functional",3,"Right box (side)",0,0,1,"1",36.268,3,0
"898","ES132","Functional",3,"Right box (side)",0,0,1,"1",38.829,3,0
"899","ES133","Functional",3,"Right box (side)",0,0,1,"1",50.504,3,0
"900","ES134","Functional",3,"Right box (side)",0,0,2,"2",36.766,7,0
"901","ES135","Functional",3,"Right box (side)",0,0,1,"1",30.744,3,0
"902","ES136","Functional",3,"Right box (side)",0,0,2,"2",26.498,7,0
"903","ES101","Non-functional",3,"Right box (side)",0,0,2,"1",36.603,7,0
"904","ES102","Non-functional",3,"Right box (side)",0,0,1,"2",40.002,3,0
"905","ES103","Non-functional",3,"Right box (side)",0,0,2,"1",33.754,7,0
"906","ES104","Non-functional",3,"Right box (side)",0,0,1,"2",41.608,3,0
"907","ES106","Non-functional",3,"Right box (side)",0,0,1,"2",56.751,3,0
"908","ES108","Non-functional",3,"Right box (side)",0,0,1,"2",25.754,3,0
"909","ES110","Non-functional",3,"Right box (side)",0,0,2,"1",31.246,7,0
"910","ES111","Non-functional",3,"Right box (side)",0,0,1,"2",30.001,3,0
"911","ES113","Non-functional",3,"Right box (side)",0,0,1,"2",35.703,3,0
"912","ES114","Non-functional",3,"Right box (side)",0,0,2,"1",38.021,7,0
"913","ES116","Non-functional",3,"Right box (side)",0,0,2,"1",35.869,7,0
"914","ES117","Non-functional",3,"Right box (side)",0,0,2,"1",41.31,7,0
"915","ES119","Non-functional",3,"Right box (side)",0,0,2,"1",35.386,7,0
"916","ES120","Non-functional",3,"Right box (side)",0,0,2,"1",25.502,7,0
"917","ES122","Non-functional",3,"Right box (side)",0,0,2,"1",35.254,7,0
"918","ES123","Non-functional",3,"Right box (side)",0,0,2,"1",32,7,0
"919","ES124","Non-functional",3,"Right box (side)",0,0,2,"1",39.757,7,0
"920","Es125","Non-functional",3,"Right box (side)",0,0,1,"2",32.254,3,0
"921","ES126","Non-functional",3,"Right box (side)",0,0,2,"1",37.811,7,0
"922","ES127","Non-functional",3,"Right box (side)",0,0,2,"1",35.501,7,0
"923","ES128","Non-functional",3,"Right box (side)",0,0,2,"1",52.005,7,0
"924","ES129","Non-functional",3,"Right box (side)",0,0,1,"2",43.999,3,0
"925","ES130","Non-functional",3,"Right box (side)",0,0,2,"1",39.004,7,0
"926","ES132","Non-functional",3,"Right box (side)",0,0,2,"1",34.831,7,0
"927","ES133","Non-functional",3,"Right box (side)",0,0,2,"1",28.503,7,0
"928","ES134","Non-functional",3,"Right box (side)",0,0,1,"2",39.003,3,0
"929","ES135","Non-functional",3,"Right box (side)",0,0,2,"1",29.739,7,0
"930","ES136","Non-functional",3,"Right box (side)",0,0,1,"2",26.004,3,0
"931","ES101","Functional",4,"Right box (side)",0,0,1,"1",38.939,4,0
"932","ES102","Functional",4,"Right box (side)",0,0,2,"2",38.752,8,0
"933","ES103","Functional",4,"Right box (side)",0,0,1,"1",32.494,4,0
"934","ES104","Functional",4,"Right box (side)",0,0,2,"2",44.11,8,0
"935","ES106","Functional",4,"Right box (side)",0,0,2,"2",48.496,8,0
"936","ES108","Functional",4,"Right box (side)",0,0,2,"2",29.743,8,0
"937","ES110","Functional",4,"Right box (side)",0,0,1,"1",28,4,0
"938","ES111","Functional",4,"Right box (side)",0,0,2,"2",30.999,8,0
"939","ES112","Functional",4,"Right box (side)",0,0,1,"1",25.042,4,0
"940","ES113","Functional",4,"Right box (side)",0,0,2,"2",30.997,8,0
"941","ES114","Functional",4,"Right box (side)",0,0,1,"1",34.935,4,0
"942","ES115","Functional",4,"Right box (side)",0,0,2,"2",30.664,8,0
"943","ES116","Functional",4,"Right box (side)",0,0,1,"1",27.411,4,0
"944","ES117","Functional",4,"Right box (side)",0,0,1,"1",37.621,4,0
"945","ES118","Functional",4,"Right box (side)",0,0,2,"2",34.868,8,0
"946","ES119","Functional",4,"Right box (side)",0,0,1,"1",32.099,4,0
"947","ES120","Functional",4,"Right box (side)",0,0,1,"1",25.749,4,0
"948","ES122","Functional",4,"Right box (side)",0,0,1,"1",29.773,4,0
"949","ES123","Functional",4,"Right box (side)",0,0,1,"1",32.251,4,0
"950","ES124","Functional",4,"Right box (side)",0,0,1,"1",44.999,4,0
"951","Es125","Functional",4,"Right box (side)",0,0,2,"2",28.002,8,0
"952","ES126","Functional",4,"Right box (side)",0,0,1,"1",31.003,4,0
"953","ES127","Functional",4,"Right box (side)",0,0,1,"1",32.755,4,0
"954","ES128","Functional",4,"Right box (side)",0,0,1,"1",39.997,4,0
"955","ES129","Functional",4,"Right box (side)",0,0,2,"2",37.5,8,0
"956","ES130","Functional",4,"Right box (side)",0,0,1,"1",36.453,4,0
"957","ES132","Functional",4,"Right box (side)",0,0,1,"1",45.288,4,0
"958","ES133","Functional",4,"Right box (side)",0,0,1,"1",34.257,4,0
"959","ES134","Functional",4,"Right box (side)",0,0,2,"2",32.998,8,0
"960","ES135","Functional",4,"Right box (side)",0,0,1,"1",30.746,4,0
"961","ES136","Functional",4,"Right box (side)",0,0,2,"2",28.56,8,0
"962","ES101","Non-functional",4,"Right box (side)",0,0,2,"1",44.044,8,0
"963","ES102","Non-functional",4,"Right box (side)",0,0,1,"2",42.251,4,0
"964","ES103","Non-functional",4,"Right box (side)",0,0,2,"1",40.752,8,0
"965","ES104","Non-functional",4,"Right box (side)",0,0,1,"2",40.473,4,0
"966","ES106","Non-functional",4,"Right box (side)",0,0,1,"2",48.751,4,0
"967","ES108","Non-functional",4,"Right box (side)",0,0,1,"2",26.755,4,0
"968","ES110","Non-functional",4,"Right box (side)",0,0,2,"1",26.002,8,0
"969","ES111","Non-functional",4,"Right box (side)",0,0,1,"2",30.009,4,0
"970","ES112","Non-functional",4,"Right box (side)",0,0,2,"1",26.126,8,0
"971","ES113","Non-functional",4,"Right box (side)",0,0,1,"2",31.982,4,0
"972","ES114","Non-functional",4,"Right box (side)",0,0,2,"1",36.954,8,0
"973","ES115","Non-functional",4,"Right box (side)",0,0,1,"2",27.511,4,0
"974","ES116","Non-functional",4,"Right box (side)",0,0,2,"1",28.012,8,0
"975","ES117","Non-functional",4,"Right box (side)",0,0,2,"1",41.041,8,0
"976","ES118","Non-functional",4,"Right box (side)",0,0,1,"2",37.721,4,0
"977","ES119","Non-functional",4,"Right box (side)",0,0,2,"1",37.654,8,0
"978","ES120","Non-functional",4,"Right box (side)",0,0,2,"1",26.287,8,0
"979","ES122","Non-functional",4,"Right box (side)",0,0,2,"1",31.499,8,0
"980","ES123","Non-functional",4,"Right box (side)",0,0,2,"1",32.752,8,0
"981","ES124","Non-functional",4,"Right box (side)",0,0,2,"1",36.734,8,0
"982","Es125","Non-functional",4,"Right box (side)",0,0,1,"2",33.254,4,0
"983","ES126","Non-functional",4,"Right box (side)",0,0,2,"1",38.503,8,0
"984","ES127","Non-functional",4,"Right box (side)",0,0,2,"1",34.25,8,0
"985","ES128","Non-functional",4,"Right box (side)",0,0,2,"1",37.404,8,0
"986","ES129","Non-functional",4,"Right box (side)",0,0,1,"2",40.501,4,0
"987","ES130","Non-functional",4,"Right box (side)",0,0,2,"1",41.687,8,0
"988","ES132","Non-functional",4,"Right box (side)",0,0,2,"1",32.468,8,0
"989","ES133","Non-functional",4,"Right box (side)",0,0,2,"1",36.75,8,0
"990","ES134","Non-functional",4,"Right box (side)",0,0,1,"2",35.003,4,0
"991","ES135","Non-functional",4,"Right box (side)",0,0,2,"1",32.251,8,0
"992","ES136","Non-functional",4,"Right box (side)",0,0,1,"2",32.251,4,0
