Observation id,Observation date,Media file,Total length,FPS,Subject,Session,Trial Order,Date,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s)
Mali12.13.22ESExpS8.MTS.re-encoded.1920px.800k,12/16/2022 8:21,D:/Explanation Seeking/Experiment/Mali/Mali12.13.22ESExpS8.MTS.re-encoded.1920px.800k.avi,328.84,25,Mali,8,1,121322,Functional,Exiting at end of trial,Movement,,STATE,226.51,227.711,1.201
Mali12.13.22ESExpS8.MTS.re-encoded.1920px.800k,12/16/2022 8:21,D:/Explanation Seeking/Experiment/Mali/Mali12.13.22ESExpS8.MTS.re-encoded.1920px.800k.avi,328.84,25,Mali,8,1,121322,No focal subject,Waiting compartment,Compartment,,STATE,227.711,282.736,55.025
Mali12.13.22ESExpS8.MTS.re-encoded.1920px.800k,12/16/2022 8:21,D:/Explanation Seeking/Experiment/Mali/Mali12.13.22ESExpS8.MTS.re-encoded.1920px.800k.avi,328.84,25,Mali,8,1,121322,Non-functional,Non-functional,Trial type,,STATE,282.736,324.615,41.879
Mali12.13.22ESExpS8.MTS.re-encoded.1920px.800k,12/16/2022 8:21,D:/Explanation Seeking/Experiment/Mali/Mali12.13.22ESExpS8.MTS.re-encoded.1920px.800k.avi,328.84,25,Mali,8,1,121322,Non-functional,Testing compartment,Compartment,,STATE,282.736,320.365,37.629
Mali12.13.22ESExpS8.MTS.re-encoded.1920px.800k,12/16/2022 8:21,D:/Explanation Seeking/Experiment/Mali/Mali12.13.22ESExpS8.MTS.re-encoded.1920px.800k.avi,328.84,25,Mali,8,1,121322,Non-functional,Arriving at start of trial,Movement,,STATE,282.736,284.536,1.8
Mali12.13.22ESExpS8.MTS.re-encoded.1920px.800k,12/16/2022 8:21,D:/Explanation Seeking/Experiment/Mali/Mali12.13.22ESExpS8.MTS.re-encoded.1920px.800k.avi,328.84,25,Mali,8,1,121322,Non-functional,Solve to food,Time spent,,STATE,284.536,289.286,4.75
Mali12.13.22ESExpS8.MTS.re-encoded.1920px.800k,12/16/2022 8:21,D:/Explanation Seeking/Experiment/Mali/Mali12.13.22ESExpS8.MTS.re-encoded.1920px.800k.avi,328.84,25,Mali,8,1,121322,Non-functional,Right box (front),Proximity,,STATE,284.536,289.586,5.05
Mali12.13.22ESExpS8.MTS.re-encoded.1920px.800k,12/16/2022 8:21,D:/Explanation Seeking/Experiment/Mali/Mali12.13.22ESExpS8.MTS.re-encoded.1920px.800k.avi,328.84,25,Mali,8,1,121322,Non-functional,Food to end of trial,Time spent,,STATE,289.286,324.615,35.329
Mali12.13.22ESExpS8.MTS.re-encoded.1920px.800k,12/16/2022 8:21,D:/Explanation Seeking/Experiment/Mali/Mali12.13.22ESExpS8.MTS.re-encoded.1920px.800k.avi,328.84,25,Mali,8,1,121322,Non-functional,Midd box,Proximity,,STATE,289.586,289.935,0.349
Mali12.13.22ESExpS8.MTS.re-encoded.1920px.800k,12/16/2022 8:21,D:/Explanation Seeking/Experiment/Mali/Mali12.13.22ESExpS8.MTS.re-encoded.1920px.800k.avi,328.84,25,Mali,8,1,121322,Non-functional,Left box,Proximity,,STATE,289.935,293.097,3.162
Mali12.13.22ESExpS8.MTS.re-encoded.1920px.800k,12/16/2022 8:21,D:/Explanation Seeking/Experiment/Mali/Mali12.13.22ESExpS8.MTS.re-encoded.1920px.800k.avi,328.84,25,Mali,8,1,121322,Non-functional,Midd box,Proximity,,STATE,293.846,294.522,0.676
Mali12.13.22ESExpS8.MTS.re-encoded.1920px.800k,12/16/2022 8:21,D:/Explanation Seeking/Experiment/Mali/Mali12.13.22ESExpS8.MTS.re-encoded.1920px.800k.avi,328.84,25,Mali,8,1,121322,Non-functional,Fiddling with wood,Fiddling,,STATE,294.522,314.997,20.475
