"","subject","condition","Trial","Behavior","sum_duration","count_peeking","Block","trial_order","Trial_duration","proportion_peeking"
"72","ES108","Non-functional",1,"Peephole peek",0,0,NA,NA,35.835,0
"73","ES113","Non-functional",1,"Peephole peek",0,0,NA,NA,41.541,0
"74","ES120","Non-functional",1,"Peephole peek",0,0,NA,NA,32.833,0
"75","ES125","Non-functional",1,"Peephole peek",0,0,NA,NA,37.404,0
"76","ES129","Non-functional",1,"Peephole peek",0,0,NA,NA,58.492,0
"77","ES136","Non-functional",1,"Peephole peek",0,0,NA,NA,51.701,0
"78","ES101","Functional",2,"Peephole peek",0,0,NA,NA,42.509,0
"79","ES113","Functional",2,"Peephole peek",0,0,NA,NA,35.886,0
"80","ES120","Functional",2,"Peephole peek",0,0,NA,NA,31.699,0
"81","ES125","Functional",2,"Peephole peek",0,0,NA,NA,33.166,0
"82","ES129","Functional",2,"Peephole peek",0,0,NA,NA,46.846,0
"83","ES136","Functional",2,"Peephole peek",0,0,NA,NA,28.078,0
"84","ES101","Non-functional",2,"Peephole peek",0,0,NA,NA,42.142,0
"85","ES108","Non-functional",2,"Peephole peek",0,0,NA,NA,28.361,0
"86","ES113","Non-functional",2,"Peephole peek",0,0,NA,NA,40.123,0
"87","ES120","Non-functional",2,"Peephole peek",0,0,NA,NA,29.797,0
"88","ES125","Non-functional",2,"Peephole peek",0,0,NA,NA,36.036,0
"89","ES129","Non-functional",2,"Peephole peek",0,0,NA,NA,49.783,0
"90","ES136","Non-functional",2,"Peephole peek",0,0,NA,NA,29.096,0
"91","ES101","Functional",3,"Peephole peek",0,0,NA,NA,49.883,0
"92","ES108","Functional",3,"Peephole peek",0,0,NA,NA,30.096,0
"93","ES113","Functional",3,"Peephole peek",0,0,NA,NA,36.503,0
"94","ES120","Functional",3,"Peephole peek",0,0,NA,NA,27.961,0
"95","ES125","Functional",3,"Peephole peek",0,0,NA,NA,33.434,0
"96","ES129","Functional",3,"Peephole peek",0,0,NA,NA,43.677,0
"97","ES136","Functional",3,"Peephole peek",0,0,NA,NA,27.578,0
"98","ES101","Non-functional",3,"Peephole peek",0,0,NA,NA,43.978,0
"99","ES108","Non-functional",3,"Peephole peek",0,0,NA,NA,34.468,0
"100","ES113","Non-functional",3,"Peephole peek",0,0,NA,NA,38.605,0
"101","ES120","Non-functional",3,"Peephole peek",0,0,NA,NA,28.896,0
"102","ES125","Non-functional",3,"Peephole peek",0,0,NA,NA,34.769,0
"103","ES129","Non-functional",3,"Peephole peek",0,0,NA,NA,59.459,0
"104","ES136","Non-functional",3,"Peephole peek",0,0,NA,NA,27.744,0
"105","ES101","Functional",4,"Peephole peek",0,0,NA,NA,37.538,0
"106","ES113","Functional",4,"Peephole peek",0,0,NA,NA,35.218,0
